                spot_name                |              domain              | domain_count
-----------------------------------------+----------------------------------+--------------
 Vivat Bacchus                           | vivatbacchus.co.uk               |            2
 Lobos                                   | lobostapas.co.uk                 |            2
 The Botanist                            | thebotanist.uk.com               |            3
 The Cornish Bakery                      | thecornishbakery.com             |            2
 Nobu                                    | noburestaurants.com              |            7
 The Five Fields                         | fivefieldsrestaurant.com         |            2
 Pizza Union                             | pizzaunion.com                   |            3
 The Espresso Room                       | theespressoroom.london           |            2
 Spris Pizza                             | sprispizza.com                   |            2
 Prezzo                                  | prezzorestaurants.co.uk          |            3
 Banana                                  | bananacph.com                    |            3
 Coffee Collective                       | coffeecollective.dk              |            2
 Blondies Kitchen                        | blondieskitchen.co.uk            |            3
 Toby Carvery                            | tobycarvery.co.uk                |            2
 Okan                                    | okanlondon.com                   |            2
 Atariya Foods                           | atariya.co.uk                    |            2
 Omnino                                  | omninorestaurants.com            |            2
 Hotel du Vin                            | hotelduvin.com                   |            2
 In-N-Out Burger                         | in-n-out.com                     |            2
 Sticks'n'Sushi                          | sticksnsushi.com                 |           18
 Black Tap                               | blacktapme.com                   |            2
 La Petite Maison                        | lpmrestaurants.com               |            2
 Casa do Frango                          | casadofrango.co.uk               |            2
 Bancone                                 | bancone.co.uk                    |            2
 Wing It                                 | wingit.ie                        |            2
 Ferdi                                   | ferdi-restaurant.com             |            2
 Bubbleology                             | bubbleologyusa.com               |            2
 Osteria 16                              | osteria16.dk                     |            2
 Red's True Barbecue                     | truebarbecue.com                 |            2
 Buenos Aires                            | barestaurant.com                 |            2
 Browns                                  | browns-restaurants.co.uk         |            2
 Flax & Kale                             | flaxandkale.com                  |            2
 London Cocktail Club                    | londoncocktailclub.co.uk         |            2
 Dishoom                                 | dishoom.com                      |            8
 The Pig                                 | thepighotel.com                  |            3
 Piccolino                               | piccolinorestaurants.com         |            5
 Eggslut                                 | eggslut.com                      |            8
 All Star Lanes                          | allstarlanes.co.uk               |            5
 Tommi's Burger Joint                    | tommis.is                        |            2
 Dirty Bones                             | dirty-bones.com                  |            5
 Tapas Revolution                        | tapasrevolution.com              |            4
 Banana Tree                             | bananatree.co.uk                 |            2
 Miller & Carter                         | millerandcarter.co.uk            |           11
 Fortnum & Mason                         | fortnumandmason.com              |            2
 Bosco Pizzeria                          | boscopizzeria.co.uk              |            2
 Dabbawal                                | dabbawal.com                     |            2
 Bulla Gastrobar                         | bullagastrobar.com               |            7
 Shoryu Ramen                            | shoryuramen.com                  |            2
 Mildreds                                | mildreds.co.uk                   |            4
 Los Mochis                              | losmochis.co.uk                  |            2
 Kayal                                   | kayalrestaurant.com              |            2
 Banter NYC                              | banternyc.com                    |            2
 Suvlaki                                 | suvlaki.co.uk                    |            2
 Duke's Grocery                          | dukesgrocery.com                 |            2
 EL&N London                             | elnlondon.co.uk                  |            2
 Ognisko Restaurant                      | ogniskorestaurant.co.uk          |            2
 Prawn on the Lawn                       | prawnonthelawn.com               |            2
 Bunga Bunga                             | bungabunga.com                   |            2
 Honest Burgers                          | honestburgers.co.uk              |            6
 The Athenian                            | theathenian.co.uk                |            3
 Tamarind                                | tamarindrestaurant.com           |            2
 Fieldwork Brewing Company               | fieldworkbrewing.com             |            2
 Temper                                  | temperrestaurant.com             |            3
 Natural History Museum                  | nhm.ac.uk                        |            2
 Martin's BBQ                            | martinsbbqpr.net                 |            2
 Nando's                                 | nandos.co.uk                     |            7
 Beam                                    | cafebeam.co.uk                   |            2
 Boston Tea Party                        | bostonteaparty.co.uk             |            4
 Lussmanns                               | lussmanns.com                    |            4
 Emilia's Crafted Pasta                  | emiliaspasta.com                 |            2
 Voodoo Ray's                            | voodoorays.com                   |            4
 Nando's                                 | nandos.ie                        |            3
 Four Seasons                            | fs-restaurants.co.uk             |            3
 Pizza Express                           | pizzaexpress.com                 |            7
 Gaucho                                  | gauchorestaurants.com            |            5
 La Campagna                             | la-campagna.co.uk                |            3
 Musafir                                 | musafir.com.ua                   |            3
 Chicama                                 | chicamalondon.com                |            2
 Shangri-La                              | shangri-la.com                   |            4
 Ego                                     | egorestaurants.co.uk             |            2
 Thai Square                             | thaisq.com                       |            3
 Zaap Thai Street Food                   | zaapthai.co.uk                   |            2
 Hubbox                                  | hubbox.co.uk                     |            2
 Bocas Grill                             | bocasgrill.com                   |            3
 Market Halls                            | markethalls.co.uk                |            3
 Absurd Bird                             | absurdbird.com                   |            2
 Piadera                                 | piadera.com                      |            2
 Bestia                                  | bestiala.com                     |            2
 TGI Fridays                             | tgifridays.co.uk                 |            3
